,name,salary_from,salary_to,salary_currency,area_name,published_at
2054,Графический дизайнер,170000,250000,KZT,Астана,2022-12-01T12:10:36+0300
2055,Младший разработчик,None,None,,Москва,2022-12-01T13:12:24+0300
2056,QA Lead команды ручного тестирования,None,None,,Санкт-Петербург,2022-12-01T16:18:14+0300
2057,Токарь-полуавтоматчик,35000,50000,RUR,Самара,2022-12-01T15:53:20+0300
2058,Тестировщик web-приложений,None,None,,Екатеринбург,2022-12-01T12:14:32+0300
2059,Fullstack web-разработчик стажер/junior,40000,60000,RUR,Санкт-Петербург,2022-12-01T15:46:00+0300
2060,"QA Automation Engineer Junior (Java/ Selenium), Remote work",None,None,,Батуми,2022-12-01T17:16:24+0300
2061,Младший инженер по тестированию,50000,None,RUR,Москва,2022-12-01T17:14:37+0300
2062,Junior IOS разработчик,None,None,,Москва,2022-12-01T16:29:47+0300
2063,Младший аналитик,None,None,,Москва,2022-12-01T13:12:25+0300
2064,Ночной удаленный ассистент,50000,None,RUR,Москва,2022-12-01T13:07:49+0300
2065,Оператор станков с ПУ (ученик),45000,80000,RUR,Киров (Кировская область),2022-12-01T15:31:49+0300
2066,IT специалист,2500000,4000000,UZS,Ташкент,2022-12-01T14:58:14+0300
2067,Графический дизайнер (Стажёр),None,9800,RUR,Санкт-Петербург,2022-12-01T15:22:18+0300
2068,Front-end разработчик,35000,None,RUR,Киров (Кировская область),2022-12-01T16:24:30+0300
2069,Менеджер проектов (дочерняя компания),None,None,,Москва,2022-12-01T15:27:26+0300
2070,Тестировщик ПО / QA Engineer,50000,None,RUR,Москва,2022-12-01T16:17:14+0300
2071,Шлифовщик,None,75000,RUR,Самара,2022-12-01T15:53:36+0300
2072,Начальник транспортного отдела,100000,250000,RUR,Москва,2022-12-01T15:21:38+0300
2073,Токарь,2000,3000,BYR,Минск,2022-12-01T15:55:13+0300
2074,Графический дизайнер,170000,250000,KZT,Астана,2022-12-01T12:10:36+0300
2075,Младший разработчик,None,None,,Москва,2022-12-01T13:12:24+0300
2076,QA Lead команды ручного тестирования,None,None,,Санкт-Петербург,2022-12-01T16:18:14+0300
2077,Токарь-полуавтоматчик,35000,50000,RUR,Самара,2022-12-01T15:53:20+0300
2078,Тестировщик web-приложений,None,None,,Екатеринбург,2022-12-01T12:14:32+0300
2079,Fullstack web-разработчик стажер/junior,40000,60000,RUR,Санкт-Петербург,2022-12-01T15:46:00+0300
2080,"QA Automation Engineer Junior (Java/ Selenium), Remote work",None,None,,Батуми,2022-12-01T17:16:24+0300
2081,Младший инженер по тестированию,50000,None,RUR,Москва,2022-12-01T17:14:37+0300
2082,Junior IOS разработчик,None,None,,Москва,2022-12-01T16:29:47+0300
2083,Младший аналитик,None,None,,Москва,2022-12-01T13:12:25+0300
2084,Ночной удаленный ассистент,50000,None,RUR,Москва,2022-12-01T13:07:49+0300
2085,Оператор станков с ПУ (ученик),45000,80000,RUR,Киров (Кировская область),2022-12-01T15:31:49+0300
2086,IT специалист,2500000,4000000,UZS,Ташкент,2022-12-01T14:58:14+0300
2087,Графический дизайнер (Стажёр),None,9800,RUR,Санкт-Петербург,2022-12-01T15:22:18+0300
2088,Front-end разработчик,35000,None,RUR,Киров (Кировская область),2022-12-01T16:24:30+0300
2089,Менеджер проектов (дочерняя компания),None,None,,Москва,2022-12-01T15:27:26+0300
2090,Тестировщик ПО / QA Engineer,50000,None,RUR,Москва,2022-12-01T16:17:14+0300
2091,Шлифовщик,None,75000,RUR,Самара,2022-12-01T15:53:36+0300
2092,Начальник транспортного отдела,100000,250000,RUR,Москва,2022-12-01T15:21:38+0300
2093,Токарь,2000,3000,BYR,Минск,2022-12-01T15:55:13+0300
2094,Графический дизайнер,170000,250000,KZT,Астана,2022-12-01T12:10:36+0300
