,name,salary_from,salary_to,salary_currency,area_name,published_at
0,Тестировщик ПО / QA Engineer,40000,130000,RUR,Самара,2022-12-01T00:38:07+0300
1,Веб-дизайнер,30000,100000,RUR,Уфа,2022-12-01T02:00:51+0300
2,Заместитель главного механика (Камчатский край),None,350000,RUR,Красноярск,2022-12-01T03:15:50+0300
3,Эксперт по производству компьютерных экспертиз,45000,None,RUR,Уфа,2022-12-01T04:37:18+0300
4,Специалист по сопровождению 1С/Стажер,23000,28000,RUR,Барнаул,2022-12-01T05:07:05+0300
5,Водитель,35000,None,RUR,Комсомольск-на-Амуре,2022-12-01T04:47:05+0300
6,Начальник управления информационных технологий,None,None,,Хабаровск,2022-12-01T05:20:37+0300
7,Специалист группы администрирования базы данных,65000,85000,RUR,Красноярск,2022-12-01T04:45:49+0300
8,Главный специалист поддержки телекоммуникационных систем.,None,None,,Калуга,2022-12-01T01:27:20+0300
9,Специалист технической поддержки,35000,55000,RUR,Владивосток,2022-12-01T05:07:00+0300
10,Оператор электроэрозионного проволочно-вырезного станка,60000,60000,RUR,Новосибирск,2022-12-01T04:46:56+0300
11,Графический дизайнер,45000,60000,RUR,Хабаровск,2022-12-01T02:06:52+0300
12,Главный механик,None,None,,Южно-Сахалинск,2022-12-01T04:05:09+0300
13,1С разработчик,500000,700000,KZT,Алматы,2022-12-01T05:34:36+0300
14,Проект-менеджер,None,None,,Владивосток,2022-12-01T03:49:22+0300
15,Мастер по ремонту цифровой и бытовой техники,30000,None,RUR,Хабаровск,2022-12-01T03:59:49+0300
16,Сигналист на участок Улак-Февральск,70000,70000,RUR,Зея,2022-12-01T01:56:10+0300
17,Контент-менеджер,25000,50000,RUR,Астана,2022-12-01T00:05:58+0300
18,Специалист технической поддержки,None,None,,Москва,2022-12-01T01:27:20+0300
19,Инсталлятор / Специалист по подключению абонентов / Монтажник интернет-сетей,54000,None,RUR,Лесосибирск,2022-12-01T04:31:18+0300
20,Тестировщик ПО / QA Engineer,40000,130000,RUR,Самара,2022-12-01T00:38:07+0300
21,Веб-дизайнер,30000,100000,RUR,Уфа,2022-12-01T02:00:51+0300
22,Заместитель главного механика (Камчатский край),None,350000,RUR,Красноярск,2022-12-01T03:15:50+0300
23,Эксперт по производству компьютерных экспертиз,45000,None,RUR,Уфа,2022-12-01T04:37:18+0300
24,Специалист по сопровождению 1С/Стажер,23000,28000,RUR,Барнаул,2022-12-01T05:07:05+0300
25,Водитель,35000,None,RUR,Комсомольск-на-Амуре,2022-12-01T04:47:05+0300
26,Начальник управления информационных технологий,None,None,,Хабаровск,2022-12-01T05:20:37+0300
27,Специалист группы администрирования базы данных,65000,85000,RUR,Красноярск,2022-12-01T04:45:49+0300
28,Главный специалист поддержки телекоммуникационных систем.,None,None,,Калуга,2022-12-01T01:27:20+0300
29,Специалист технической поддержки,35000,55000,RUR,Владивосток,2022-12-01T05:07:00+0300
30,Оператор электроэрозионного проволочно-вырезного станка,60000,60000,RUR,Новосибирск,2022-12-01T04:46:56+0300
31,Графический дизайнер,45000,60000,RUR,Хабаровск,2022-12-01T02:06:52+0300
32,Главный механик,None,None,,Южно-Сахалинск,2022-12-01T04:05:09+0300
33,1С разработчик,500000,700000,KZT,Алматы,2022-12-01T05:34:36+0300
34,Проект-менеджер,None,None,,Владивосток,2022-12-01T03:49:22+0300
35,Мастер по ремонту цифровой и бытовой техники,30000,None,RUR,Хабаровск,2022-12-01T03:59:49+0300
36,Сигналист на участок Улак-Февральск,70000,70000,RUR,Зея,2022-12-01T01:56:10+0300
37,Контент-менеджер,25000,50000,RUR,Астана,2022-12-01T00:05:58+0300
38,Специалист технической поддержки,None,None,,Москва,2022-12-01T01:27:20+0300
39,Инсталлятор / Специалист по подключению абонентов / Монтажник интернет-сетей,54000,None,RUR,Лесосибирск,2022-12-01T04:31:18+0300
40,Тестировщик ПО / QA Engineer,40000,130000,RUR,Самара,2022-12-01T00:38:07+0300
41,Веб-дизайнер,30000,100000,RUR,Уфа,2022-12-01T02:00:51+0300
42,Заместитель главного механика (Камчатский край),None,350000,RUR,Красноярск,2022-12-01T03:15:50+0300
43,Эксперт по производству компьютерных экспертиз,45000,None,RUR,Уфа,2022-12-01T04:37:18+0300
44,Специалист по сопровождению 1С/Стажер,23000,28000,RUR,Барнаул,2022-12-01T05:07:05+0300
45,Водитель,35000,None,RUR,Комсомольск-на-Амуре,2022-12-01T04:47:05+0300
46,Начальник управления информационных технологий,None,None,,Хабаровск,2022-12-01T05:20:37+0300
47,Специалист группы администрирования базы данных,65000,85000,RUR,Красноярск,2022-12-01T04:45:49+0300
48,Главный специалист поддержки телекоммуникационных систем.,None,None,,Калуга,2022-12-01T01:27:20+0300
49,Специалист технической поддержки,35000,55000,RUR,Владивосток,2022-12-01T05:07:00+0300
50,Оператор электроэрозионного проволочно-вырезного станка,60000,60000,RUR,Новосибирск,2022-12-01T04:46:56+0300
51,Графический дизайнер,45000,60000,RUR,Хабаровск,2022-12-01T02:06:52+0300
52,Главный механик,None,None,,Южно-Сахалинск,2022-12-01T04:05:09+0300
53,1С разработчик,500000,700000,KZT,Алматы,2022-12-01T05:34:36+0300
54,Проект-менеджер,None,None,,Владивосток,2022-12-01T03:49:22+0300
55,Мастер по ремонту цифровой и бытовой техники,30000,None,RUR,Хабаровск,2022-12-01T03:59:49+0300
56,Сигналист на участок Улак-Февральск,70000,70000,RUR,Зея,2022-12-01T01:56:10+0300
57,Контент-менеджер,25000,50000,RUR,Астана,2022-12-01T00:05:58+0300
58,Специалист технической поддержки,None,None,,Москва,2022-12-01T01:27:20+0300
59,Инсталлятор / Специалист по подключению абонентов / Монтажник интернет-сетей,54000,None,RUR,Лесосибирск,2022-12-01T04:31:18+0300
60,Тестировщик ПО / QA Engineer,40000,130000,RUR,Самара,2022-12-01T00:38:07+0300
61,Веб-дизайнер,30000,100000,RUR,Уфа,2022-12-01T02:00:51+0300
62,Заместитель главного механика (Камчатский край),None,350000,RUR,Красноярск,2022-12-01T03:15:50+0300
63,Эксперт по производству компьютерных экспертиз,45000,None,RUR,Уфа,2022-12-01T04:37:18+0300
64,Специалист по сопровождению 1С/Стажер,23000,28000,RUR,Барнаул,2022-12-01T05:07:05+0300
65,Водитель,35000,None,RUR,Комсомольск-на-Амуре,2022-12-01T04:47:05+0300
66,Начальник управления информационных технологий,None,None,,Хабаровск,2022-12-01T05:20:37+0300
67,Специалист группы администрирования базы данных,65000,85000,RUR,Красноярск,2022-12-01T04:45:49+0300
68,Главный специалист поддержки телекоммуникационных систем.,None,None,,Калуга,2022-12-01T01:27:20+0300
69,Специалист технической поддержки,35000,55000,RUR,Владивосток,2022-12-01T05:07:00+0300
70,Оператор электроэрозионного проволочно-вырезного станка,60000,60000,RUR,Новосибирск,2022-12-01T04:46:56+0300
71,Графический дизайнер,45000,60000,RUR,Хабаровск,2022-12-01T02:06:52+0300
72,Главный механик,None,None,,Южно-Сахалинск,2022-12-01T04:05:09+0300
73,1С разработчик,500000,700000,KZT,Алматы,2022-12-01T05:34:36+0300
74,Проект-менеджер,None,None,,Владивосток,2022-12-01T03:49:22+0300
75,Мастер по ремонту цифровой и бытовой техники,30000,None,RUR,Хабаровск,2022-12-01T03:59:49+0300
76,Сигналист на участок Улак-Февральск,70000,70000,RUR,Зея,2022-12-01T01:56:10+0300
77,Контент-менеджер,25000,50000,RUR,Астана,2022-12-01T00:05:58+0300
78,Специалист технической поддержки,None,None,,Москва,2022-12-01T01:27:20+0300
79,Инсталлятор / Специалист по подключению абонентов / Монтажник интернет-сетей,54000,None,RUR,Лесосибирск,2022-12-01T04:31:18+0300
80,Специалист,52000,None,RUR,Оренбург,2022-12-01T09:12:50+0300
81,QA инженер-тестировщик (Удаленно),None,None,,Москва,2022-12-01T10:53:31+0300
82,Java Developer,None,None,,Тбилиси,2022-12-01T10:16:04+0300
83,Веб-дизайнер (UI/UX),None,None,,Казань,2022-12-01T11:12:47+0300
84,Project manager,None,None,,Москва,2022-12-01T10:58:38+0300
85,Junior+ Vue разработчик,80000,120000,RUR,Красноярск,2022-12-01T10:30:49+0300
86,Python backend разработчик,150000,170000,RUR,Москва,2022-12-01T10:46:06+0300
87,Junior QA Engineer,850,1500,BYR,Минск,2022-12-01T09:08:04+0300
88,Компьютерный мастер,72000,None,RUR,Новосибирск,2022-12-01T08:40:41+0300
89,Администратор телеграм группы (финансовые рынки),10000,25000,RUR,Барнаул,2022-12-01T11:33:24+0300
90,UX/UI - дизайнер,None,None,,Алматы,2022-12-01T07:37:38+0300
91,Программист-стажер 1C,10000,40000,RUR,Кострома,2022-12-01T09:21:31+0300
92,Инженер по тестированию,None,None,,Москва,2022-12-01T10:27:18+0300
93,Администратор проекта (девелопмент),None,None,,Москва,2022-12-01T10:16:35+0300
94,Программист-стажер 1C Битрикс,None,None,,Иркутск,2022-12-01T11:59:29+0300
95,SQL-разработчик,None,None,,Екатеринбург,2022-12-01T09:20:41+0300
96,Монтажник связи,1500,3000,BYR,Минск,2022-12-01T09:04:35+0300
97,Тестировщик ПО,50000,80000,RUR,Новосибирск,2022-12-01T09:45:53+0300
98,Системный администратор,55000,None,RUR,Тюмень,2022-12-01T11:40:17+0300
99,Руководитель проекта,120000,None,RUR,Уфа,2022-12-01T08:25:19+0300
100,Специалист,52000,None,RUR,Оренбург,2022-12-01T09:12:50+0300
101,QA инженер-тестировщик (Удаленно),None,None,,Москва,2022-12-01T10:53:31+0300
102,Java Developer,None,None,,Тбилиси,2022-12-01T10:16:04+0300
103,Веб-дизайнер (UI/UX),None,None,,Казань,2022-12-01T11:12:47+0300
104,Project manager,None,None,,Москва,2022-12-01T10:58:38+0300
105,Junior+ Vue разработчик,80000,120000,RUR,Красноярск,2022-12-01T10:30:49+0300
106,Python backend разработчик,150000,170000,RUR,Москва,2022-12-01T10:46:06+0300
107,Junior QA Engineer,850,1500,BYR,Минск,2022-12-01T09:08:04+0300
108,Компьютерный мастер,72000,None,RUR,Новосибирск,2022-12-01T08:40:41+0300
109,Администратор телеграм группы (финансовые рынки),10000,25000,RUR,Барнаул,2022-12-01T11:33:24+0300
110,UX/UI - дизайнер,None,None,,Алматы,2022-12-01T07:37:38+0300
111,Программист-стажер 1C,10000,40000,RUR,Кострома,2022-12-01T09:21:31+0300
112,Инженер по тестированию,None,None,,Москва,2022-12-01T10:27:18+0300
113,Администратор проекта (девелопмент),None,None,,Москва,2022-12-01T10:16:35+0300
114,Программист-стажер 1C Битрикс,None,None,,Иркутск,2022-12-01T11:59:29+0300
115,SQL-разработчик,None,None,,Екатеринбург,2022-12-01T09:20:41+0300
116,Монтажник связи,1500,3000,BYR,Минск,2022-12-01T09:04:35+0300
117,Тестировщик ПО,50000,80000,RUR,Новосибирск,2022-12-01T09:45:53+0300
118,Системный администратор,55000,None,RUR,Тюмень,2022-12-01T11:40:17+0300
119,Руководитель проекта,120000,None,RUR,Уфа,2022-12-01T08:25:19+0300
120,Специалист,52000,None,RUR,Оренбург,2022-12-01T09:12:50+0300
121,QA инженер-тестировщик (Удаленно),None,None,,Москва,2022-12-01T10:53:31+0300
122,Java Developer,None,None,,Тбилиси,2022-12-01T10:16:04+0300
123,Веб-дизайнер (UI/UX),None,None,,Казань,2022-12-01T11:12:47+0300
124,Project manager,None,None,,Москва,2022-12-01T10:58:38+0300
125,Junior+ Vue разработчик,80000,120000,RUR,Красноярск,2022-12-01T10:30:49+0300
126,Python backend разработчик,150000,170000,RUR,Москва,2022-12-01T10:46:06+0300
127,Junior QA Engineer,850,1500,BYR,Минск,2022-12-01T09:08:04+0300
128,Компьютерный мастер,72000,None,RUR,Новосибирск,2022-12-01T08:40:41+0300
129,Администратор телеграм группы (финансовые рынки),10000,25000,RUR,Барнаул,2022-12-01T11:33:24+0300
130,UX/UI - дизайнер,None,None,,Алматы,2022-12-01T07:37:38+0300
131,Программист-стажер 1C,10000,40000,RUR,Кострома,2022-12-01T09:21:31+0300
132,Инженер по тестированию,None,None,,Москва,2022-12-01T10:27:18+0300
133,Администратор проекта (девелопмент),None,None,,Москва,2022-12-01T10:16:35+0300
134,Программист-стажер 1C Битрикс,None,None,,Иркутск,2022-12-01T11:59:29+0300
135,SQL-разработчик,None,None,,Екатеринбург,2022-12-01T09:20:41+0300
136,Монтажник связи,1500,3000,BYR,Минск,2022-12-01T09:04:35+0300
137,Тестировщик ПО,50000,80000,RUR,Новосибирск,2022-12-01T09:45:53+0300
138,Системный администратор,55000,None,RUR,Тюмень,2022-12-01T11:40:17+0300
139,Руководитель проекта,120000,None,RUR,Уфа,2022-12-01T08:25:19+0300
140,Специалист,52000,None,RUR,Оренбург,2022-12-01T09:12:50+0300
141,QA инженер-тестировщик (Удаленно),None,None,,Москва,2022-12-01T10:53:31+0300
142,Java Developer,None,None,,Тбилиси,2022-12-01T10:16:04+0300
143,Веб-дизайнер (UI/UX),None,None,,Казань,2022-12-01T11:12:47+0300
144,Project manager,None,None,,Москва,2022-12-01T10:58:38+0300
145,Junior+ Vue разработчик,80000,120000,RUR,Красноярск,2022-12-01T10:30:49+0300
146,Python backend разработчик,150000,170000,RUR,Москва,2022-12-01T10:46:06+0300
147,Junior QA Engineer,850,1500,BYR,Минск,2022-12-01T09:08:04+0300
148,Компьютерный мастер,72000,None,RUR,Новосибирск,2022-12-01T08:40:41+0300
149,Администратор телеграм группы (финансовые рынки),10000,25000,RUR,Барнаул,2022-12-01T11:33:24+0300
150,UX/UI - дизайнер,None,None,,Алматы,2022-12-01T07:37:38+0300
151,Программист-стажер 1C,10000,40000,RUR,Кострома,2022-12-01T09:21:31+0300
152,Инженер по тестированию,None,None,,Москва,2022-12-01T10:27:18+0300
153,Администратор проекта (девелопмент),None,None,,Москва,2022-12-01T10:16:35+0300
154,Программист-стажер 1C Битрикс,None,None,,Иркутск,2022-12-01T11:59:29+0300
155,SQL-разработчик,None,None,,Екатеринбург,2022-12-01T09:20:41+0300
156,Монтажник связи,1500,3000,BYR,Минск,2022-12-01T09:04:35+0300
157,Тестировщик ПО,50000,80000,RUR,Новосибирск,2022-12-01T09:45:53+0300
158,Системный администратор,55000,None,RUR,Тюмень,2022-12-01T11:40:17+0300
159,Руководитель проекта,120000,None,RUR,Уфа,2022-12-01T08:25:19+0300
160,Специалист,52000,None,RUR,Оренбург,2022-12-01T09:12:50+0300
161,QA инженер-тестировщик (Удаленно),None,None,,Москва,2022-12-01T10:53:31+0300
162,Java Developer,None,None,,Тбилиси,2022-12-01T10:16:04+0300
163,Веб-дизайнер (UI/UX),None,None,,Казань,2022-12-01T11:12:47+0300
164,Project manager,None,None,,Москва,2022-12-01T10:58:38+0300
165,Junior+ Vue разработчик,80000,120000,RUR,Красноярск,2022-12-01T10:30:49+0300
166,Python backend разработчик,150000,170000,RUR,Москва,2022-12-01T10:46:06+0300
167,Junior QA Engineer,850,1500,BYR,Минск,2022-12-01T09:08:04+0300
168,Компьютерный мастер,72000,None,RUR,Новосибирск,2022-12-01T08:40:41+0300
169,Администратор телеграм группы (финансовые рынки),10000,25000,RUR,Барнаул,2022-12-01T11:33:24+0300
170,UX/UI - дизайнер,None,None,,Алматы,2022-12-01T07:37:38+0300
171,Программист-стажер 1C,10000,40000,RUR,Кострома,2022-12-01T09:21:31+0300
172,Инженер по тестированию,None,None,,Москва,2022-12-01T10:27:18+0300
173,Администратор проекта (девелопмент),None,None,,Москва,2022-12-01T10:16:35+0300
174,Программист-стажер 1C Битрикс,None,None,,Иркутск,2022-12-01T11:59:29+0300
175,SQL-разработчик,None,None,,Екатеринбург,2022-12-01T09:20:41+0300
176,Монтажник связи,1500,3000,BYR,Минск,2022-12-01T09:04:35+0300
177,Тестировщик ПО,50000,80000,RUR,Новосибирск,2022-12-01T09:45:53+0300
178,Системный администратор,55000,None,RUR,Тюмень,2022-12-01T11:40:17+0300
179,Руководитель проекта,120000,None,RUR,Уфа,2022-12-01T08:25:19+0300
180,Специалист,52000,None,RUR,Оренбург,2022-12-01T09:12:50+0300
181,QA инженер-тестировщик (Удаленно),None,None,,Москва,2022-12-01T10:53:31+0300
182,Java Developer,None,None,,Тбилиси,2022-12-01T10:16:04+0300
183,Веб-дизайнер (UI/UX),None,None,,Казань,2022-12-01T11:12:47+0300
184,Project manager,None,None,,Москва,2022-12-01T10:58:38+0300
185,Junior+ Vue разработчик,80000,120000,RUR,Красноярск,2022-12-01T10:30:49+0300
186,Python backend разработчик,150000,170000,RUR,Москва,2022-12-01T10:46:06+0300
187,Junior QA Engineer,850,1500,BYR,Минск,2022-12-01T09:08:04+0300
188,Компьютерный мастер,72000,None,RUR,Новосибирск,2022-12-01T08:40:41+0300
189,Администратор телеграм группы (финансовые рынки),10000,25000,RUR,Барнаул,2022-12-01T11:33:24+0300
190,UX/UI - дизайнер,None,None,,Алматы,2022-12-01T07:37:38+0300
191,Программист-стажер 1C,10000,40000,RUR,Кострома,2022-12-01T09:21:31+0300
192,Инженер по тестированию,None,None,,Москва,2022-12-01T10:27:18+0300
193,Администратор проекта (девелопмент),None,None,,Москва,2022-12-01T10:16:35+0300
194,Программист-стажер 1C Битрикс,None,None,,Иркутск,2022-12-01T11:59:29+0300
195,SQL-разработчик,None,None,,Екатеринбург,2022-12-01T09:20:41+0300
196,Монтажник связи,1500,3000,BYR,Минск,2022-12-01T09:04:35+0300
197,Тестировщик ПО,50000,80000,RUR,Новосибирск,2022-12-01T09:45:53+0300
198,Системный администратор,55000,None,RUR,Тюмень,2022-12-01T11:40:17+0300
199,Руководитель проекта,120000,None,RUR,Уфа,2022-12-01T08:25:19+0300
200,Специалист,52000,None,RUR,Оренбург,2022-12-01T09:12:50+0300
201,QA инженер-тестировщик (Удаленно),None,None,,Москва,2022-12-01T10:53:31+0300
202,Java Developer,None,None,,Тбилиси,2022-12-01T10:16:04+0300
203,Веб-дизайнер (UI/UX),None,None,,Казань,2022-12-01T11:12:47+0300
204,Project manager,None,None,,Москва,2022-12-01T10:58:38+0300
205,Junior+ Vue разработчик,80000,120000,RUR,Красноярск,2022-12-01T10:30:49+0300
206,Python backend разработчик,150000,170000,RUR,Москва,2022-12-01T10:46:06+0300
207,Junior QA Engineer,850,1500,BYR,Минск,2022-12-01T09:08:04+0300
208,Компьютерный мастер,72000,None,RUR,Новосибирск,2022-12-01T08:40:41+0300
209,Администратор телеграм группы (финансовые рынки),10000,25000,RUR,Барнаул,2022-12-01T11:33:24+0300
210,UX/UI - дизайнер,None,None,,Алматы,2022-12-01T07:37:38+0300
211,Программист-стажер 1C,10000,40000,RUR,Кострома,2022-12-01T09:21:31+0300
212,Инженер по тестированию,None,None,,Москва,2022-12-01T10:27:18+0300
213,Администратор проекта (девелопмент),None,None,,Москва,2022-12-01T10:16:35+0300
214,Программист-стажер 1C Битрикс,None,None,,Иркутск,2022-12-01T11:59:29+0300
215,SQL-разработчик,None,None,,Екатеринбург,2022-12-01T09:20:41+0300
216,Монтажник связи,1500,3000,BYR,Минск,2022-12-01T09:04:35+0300
217,Тестировщик ПО,50000,80000,RUR,Новосибирск,2022-12-01T09:45:53+0300
218,Системный администратор,55000,None,RUR,Тюмень,2022-12-01T11:40:17+0300
219,Руководитель проекта,120000,None,RUR,Уфа,2022-12-01T08:25:19+0300
220,Специалист,52000,None,RUR,Оренбург,2022-12-01T09:12:50+0300
221,QA инженер-тестировщик (Удаленно),None,None,,Москва,2022-12-01T10:53:31+0300
222,Java Developer,None,None,,Тбилиси,2022-12-01T10:16:04+0300
223,Веб-дизайнер (UI/UX),None,None,,Казань,2022-12-01T11:12:47+0300
224,Project manager,None,None,,Москва,2022-12-01T10:58:38+0300
225,Junior+ Vue разработчик,80000,120000,RUR,Красноярск,2022-12-01T10:30:49+0300
226,Python backend разработчик,150000,170000,RUR,Москва,2022-12-01T10:46:06+0300
227,Junior QA Engineer,850,1500,BYR,Минск,2022-12-01T09:08:04+0300
228,Компьютерный мастер,72000,None,RUR,Новосибирск,2022-12-01T08:40:41+0300
229,Администратор телеграм группы (финансовые рынки),10000,25000,RUR,Барнаул,2022-12-01T11:33:24+0300
230,UX/UI - дизайнер,None,None,,Алматы,2022-12-01T07:37:38+0300
231,Программист-стажер 1C,10000,40000,RUR,Кострома,2022-12-01T09:21:31+0300
232,Инженер по тестированию,None,None,,Москва,2022-12-01T10:27:18+0300
233,Администратор проекта (девелопмент),None,None,,Москва,2022-12-01T10:16:35+0300
234,Программист-стажер 1C Битрикс,None,None,,Иркутск,2022-12-01T11:59:29+0300
235,SQL-разработчик,None,None,,Екатеринбург,2022-12-01T09:20:41+0300
236,Монтажник связи,1500,3000,BYR,Минск,2022-12-01T09:04:35+0300
237,Тестировщик ПО,50000,80000,RUR,Новосибирск,2022-12-01T09:45:53+0300
238,Системный администратор,55000,None,RUR,Тюмень,2022-12-01T11:40:17+0300
239,Руководитель проекта,120000,None,RUR,Уфа,2022-12-01T08:25:19+0300
240,Специалист,52000,None,RUR,Оренбург,2022-12-01T09:12:50+0300
241,QA инженер-тестировщик (Удаленно),None,None,,Москва,2022-12-01T10:53:31+0300
242,Java Developer,None,None,,Тбилиси,2022-12-01T10:16:04+0300
243,Веб-дизайнер (UI/UX),None,None,,Казань,2022-12-01T11:12:47+0300
244,Project manager,None,None,,Москва,2022-12-01T10:58:38+0300
245,Junior+ Vue разработчик,80000,120000,RUR,Красноярск,2022-12-01T10:30:49+0300
246,Python backend разработчик,150000,170000,RUR,Москва,2022-12-01T10:46:06+0300
247,Junior QA Engineer,850,1500,BYR,Минск,2022-12-01T09:08:04+0300
248,Компьютерный мастер,72000,None,RUR,Новосибирск,2022-12-01T08:40:41+0300
249,Администратор телеграм группы (финансовые рынки),10000,25000,RUR,Барнаул,2022-12-01T11:33:24+0300
250,UX/UI - дизайнер,None,None,,Алматы,2022-12-01T07:37:38+0300
251,Программист-стажер 1C,10000,40000,RUR,Кострома,2022-12-01T09:21:31+0300
252,Инженер по тестированию,None,None,,Москва,2022-12-01T10:27:18+0300
253,Администратор проекта (девелопмент),None,None,,Москва,2022-12-01T10:16:35+0300
254,Программист-стажер 1C Битрикс,None,None,,Иркутск,2022-12-01T11:59:29+0300
255,SQL-разработчик,None,None,,Екатеринбург,2022-12-01T09:20:41+0300
256,Монтажник связи,1500,3000,BYR,Минск,2022-12-01T09:04:35+0300
257,Тестировщик ПО,50000,80000,RUR,Новосибирск,2022-12-01T09:45:53+0300
258,Системный администратор,55000,None,RUR,Тюмень,2022-12-01T11:40:17+0300
259,Руководитель проекта,120000,None,RUR,Уфа,2022-12-01T08:25:19+0300
260,Специалист,52000,None,RUR,Оренбург,2022-12-01T09:12:50+0300
261,QA инженер-тестировщик (Удаленно),None,None,,Москва,2022-12-01T10:53:31+0300
262,Java Developer,None,None,,Тбилиси,2022-12-01T10:16:04+0300
263,Веб-дизайнер (UI/UX),None,None,,Казань,2022-12-01T11:12:47+0300
264,Project manager,None,None,,Москва,2022-12-01T10:58:38+0300
265,Junior+ Vue разработчик,80000,120000,RUR,Красноярск,2022-12-01T10:30:49+0300
266,Python backend разработчик,150000,170000,RUR,Москва,2022-12-01T10:46:06+0300
267,Junior QA Engineer,850,1500,BYR,Минск,2022-12-01T09:08:04+0300
268,Компьютерный мастер,72000,None,RUR,Новосибирск,2022-12-01T08:40:41+0300
269,Администратор телеграм группы (финансовые рынки),10000,25000,RUR,Барнаул,2022-12-01T11:33:24+0300
270,UX/UI - дизайнер,None,None,,Алматы,2022-12-01T07:37:38+0300
271,Программист-стажер 1C,10000,40000,RUR,Кострома,2022-12-01T09:21:31+0300
272,Инженер по тестированию,None,None,,Москва,2022-12-01T10:27:18+0300
273,Администратор проекта (девелопмент),None,None,,Москва,2022-12-01T10:16:35+0300
274,Программист-стажер 1C Битрикс,None,None,,Иркутск,2022-12-01T11:59:29+0300
275,SQL-разработчик,None,None,,Екатеринбург,2022-12-01T09:20:41+0300
276,Монтажник связи,1500,3000,BYR,Минск,2022-12-01T09:04:35+0300
277,Тестировщик ПО,50000,80000,RUR,Новосибирск,2022-12-01T09:45:53+0300
278,Системный администратор,55000,None,RUR,Тюмень,2022-12-01T11:40:17+0300
279,Руководитель проекта,120000,None,RUR,Уфа,2022-12-01T08:25:19+0300
280,Специалист,52000,None,RUR,Оренбург,2022-12-01T09:12:50+0300
281,QA инженер-тестировщик (Удаленно),None,None,,Москва,2022-12-01T10:53:31+0300
282,Java Developer,None,None,,Тбилиси,2022-12-01T10:16:04+0300
283,Веб-дизайнер (UI/UX),None,None,,Казань,2022-12-01T11:12:47+0300
284,Project manager,None,None,,Москва,2022-12-01T10:58:38+0300
285,Junior+ Vue разработчик,80000,120000,RUR,Красноярск,2022-12-01T10:30:49+0300
286,Python backend разработчик,150000,170000,RUR,Москва,2022-12-01T10:46:06+0300
287,Junior QA Engineer,850,1500,BYR,Минск,2022-12-01T09:08:04+0300
288,Компьютерный мастер,72000,None,RUR,Новосибирск,2022-12-01T08:40:41+0300
289,Администратор телеграм группы (финансовые рынки),10000,25000,RUR,Барнаул,2022-12-01T11:33:24+0300
290,UX/UI - дизайнер,None,None,,Алматы,2022-12-01T07:37:38+0300
291,Программист-стажер 1C,10000,40000,RUR,Кострома,2022-12-01T09:21:31+0300
292,Инженер по тестированию,None,None,,Москва,2022-12-01T10:27:18+0300
293,Администратор проекта (девелопмент),None,None,,Москва,2022-12-01T10:16:35+0300
294,Программист-стажер 1C Битрикс,None,None,,Иркутск,2022-12-01T11:59:29+0300
295,SQL-разработчик,None,None,,Екатеринбург,2022-12-01T09:20:41+0300
296,Монтажник связи,1500,3000,BYR,Минск,2022-12-01T09:04:35+0300
297,Тестировщик ПО,50000,80000,RUR,Новосибирск,2022-12-01T09:45:53+0300
298,Системный администратор,55000,None,RUR,Тюмень,2022-12-01T11:40:17+0300
299,Руководитель проекта,120000,None,RUR,Уфа,2022-12-01T08:25:19+0300
300,Специалист,52000,None,RUR,Оренбург,2022-12-01T09:12:50+0300
301,QA инженер-тестировщик (Удаленно),None,None,,Москва,2022-12-01T10:53:31+0300
302,Java Developer,None,None,,Тбилиси,2022-12-01T10:16:04+0300
303,Веб-дизайнер (UI/UX),None,None,,Казань,2022-12-01T11:12:47+0300
304,Project manager,None,None,,Москва,2022-12-01T10:58:38+0300
305,Junior+ Vue разработчик,80000,120000,RUR,Красноярск,2022-12-01T10:30:49+0300
306,Python backend разработчик,150000,170000,RUR,Москва,2022-12-01T10:46:06+0300
307,Junior QA Engineer,850,1500,BYR,Минск,2022-12-01T09:08:04+0300
308,Компьютерный мастер,72000,None,RUR,Новосибирск,2022-12-01T08:40:41+0300
309,Администратор телеграм группы (финансовые рынки),10000,25000,RUR,Барнаул,2022-12-01T11:33:24+0300
310,UX/UI - дизайнер,None,None,,Алматы,2022-12-01T07:37:38+0300
311,Программист-стажер 1C,10000,40000,RUR,Кострома,2022-12-01T09:21:31+0300
312,Инженер по тестированию,None,None,,Москва,2022-12-01T10:27:18+0300
313,Администратор проекта (девелопмент),None,None,,Москва,2022-12-01T10:16:35+0300
314,Программист-стажер 1C Битрикс,None,None,,Иркутск,2022-12-01T11:59:29+0300
315,SQL-разработчик,None,None,,Екатеринбург,2022-12-01T09:20:41+0300
316,Монтажник связи,1500,3000,BYR,Минск,2022-12-01T09:04:35+0300
317,Тестировщик ПО,50000,80000,RUR,Новосибирск,2022-12-01T09:45:53+0300
318,Системный администратор,55000,None,RUR,Тюмень,2022-12-01T11:40:17+0300
319,Руководитель проекта,120000,None,RUR,Уфа,2022-12-01T08:25:19+0300
320,Специалист,52000,None,RUR,Оренбург,2022-12-01T09:12:50+0300
321,QA инженер-тестировщик (Удаленно),None,None,,Москва,2022-12-01T10:53:31+0300
322,Java Developer,None,None,,Тбилиси,2022-12-01T10:16:04+0300
323,Веб-дизайнер (UI/UX),None,None,,Казань,2022-12-01T11:12:47+0300
